replicate,delta_C
715,-0.06403186274509798
716,-0.03982843137254899
717,-0.05558876270173341
718,-0.005408653846153855
719,-0.05319148936170204
720,-0.008687837028160561
721,0.003674219228414044
722,-0.04041051956382291
723,-0.03230676328502413
724,-0.018075980392156854
725,-0.028520499108734332
726,0.009506833036244777
727,-0.0023612750885478873
728,0.02263374485596714
729,-0.036615384615384605
730,0.00897129186602863
731,-0.023295070898041836
732,-0.024746571258199124
733,-0.04531630170316303
734,-0.020517676767676796
735,-0.01148036253776441
736,-0.01927860696517414
737,0.014010507880910739
738,-0.018437499999999996
739,-0.012865497076023469
740,-0.026315789473684292
741,-0.0355345911949686
742,0.014465408805031443
743,-0.05649188514357051
744,-0.03629274145170969
745,-0.014381884944920431
746,-0.019501278772378505
747,-0.02516281823564237
748,-0.03029356652092441
749,-0.03213844252163156
750,-0.09206349206349207
751,-0.0431192660550459
752,-0.0017513134851138146
753,-0.04826732673267331
754,-0.039465875370919834
755,-0.019826517967781898
756,-0.022330774598743885
757,-0.004491017964071808
758,-0.009663341645885226
759,-0.04863813229571978
760,-0.014527845036319653
761,-0.0019317450096587585
762,-0.05258570598489254
763,-0.016911295469049126
764,-0.03502188868042533
765,-0.025834908632640152
766,-0.005025125628140725
767,0.0016371971185330514
768,-0.024868344060854253
769,-0.03930412371134018
770,-0.021857923497267673
771,-0.041986989946777076
772,-0.013613861386138515
773,-0.015503875968992165
774,-0.04340511440107664
775,-0.04650436953807735
776,0.012048192771084376
777,-0.02944711538461542
778,-0.011701454775458475
779,-0.020919269298762533
780,-0.01900584795321636
781,0.021739130434782594
782,-0.03686087990487519
783,-0.019266055045871644
784,-0.04899235580264072
785,-0.03356336260978665
786,0.01764705882352946
787,-0.002350176263219761
788,-0.03824626865671643
789,-0.061409179056237884
790,-0.032776747062461364
791,-0.0029850746268657025
792,-0.03213844252163167
793,-0.02263906856403619
794,-0.0374280230326296
795,-0.030379746835442978
796,-0.02082057562767914
797,-0.02946708463949843
798,-0.03614823815309842
799,-0.041383570105003153
800,-0.016656384947563274
801,-0.04134212103055723
802,0.005243676742751391
803,-0.018111254851228997
804,-0.013661202185792365
805,-0.027059530968129852
806,-0.026508226691042025
807,-0.035305343511450316
808,-0.006172839506172756
809,-0.017538054268696146
810,0.009312780989081615
811,-0.002109704641350185
812,-0.04158907510862819
813,-0.02522255192878342
814,-0.06006389776357823
815,-0.00423728813559332
816,-0.07552581261950286
817,0.012217470983506451
818,-0.008664955070603275
819,-0.041792852816474824
820,-0.019193233571893287
821,-0.03063063063063065
822,-0.006344410876132911
823,-0.00284450063211128
824,-0.05008944543828264
825,-0.006302521008403339
826,-0.009910485933503854
827,-0.01098574821852727
828,-0.007673419275629256
829,-0.03177570093457949
830,0.0012269938650306678
831,0.009382566585956376
832,-0.01480362537764357
833,-0.047361729179910994
834,-0.01604782882315925
835,-0.00916310323762981
836,-0.03822249844623993
837,-0.01715854495538771
838,-0.0064683053040103244
839,-0.01115241635687736
840,-0.023099415204678286
841,-0.041569086651053855
842,-0.021873074553296346
843,-0.014268727705113005
844,-0.015448603683897888
845,-0.005157766990291246
846,0.004080351537978699
847,-0.01586807716241445
848,-0.026908635794743452
849,-0.028128950695322397
850,-0.04126506024096388
851,-0.02295766249254616
852,-0.0241486068111455
853,-0.02656716417910443
854,-0.01584399756246191
855,-0.019462137296532234
856,-0.07232893157262898
857,-0.015550239234449759
858,-0.020000000000000018
859,-0.03392330383480824
860,-0.02460510328068044
861,-0.08002481389578164
862,-0.045047732696897325
863,-0.008720930232558155
864,-0.001522533495736833
865,-0.0030487804878048808
866,-0.014591439688715901
867,-0.031862745098039214
868,-0.009803921568627527
869,-0.019645120405576644
870,-0.03168130489335008
871,-0.023853211009174258
872,-0.05009696186166768
873,-0.005135951661631388
874,-0.02905491698595153
875,-0.008873929008567982
876,0.0038387715930902067
877,-0.027310924369747913
878,-0.013452914798206206
879,0.007107540173053151
880,-0.014929742388758771
881,-0.0526481715006305
882,-0.016080097087378675
883,-0.03131179960448249
884,-0.0046963055729492
885,-0.0023654642223536193
886,-0.028073286052009427
887,-0.03549190535491897
888,-0.03071253071253066
889,-0.024908869987849358
890,-0.021957340025094085
891,0.00848484848484854
892,-0.027992852888624187
893,0.01274623406720743
894,0.013182674199623268
895,-0.0055248618784530246
896,-0.011620795107033732
897,0.006510416666666741
898,-0.015033072760072153
899,-0.041246851385390415
900,0.02097264437689972
901,-0.03141993957703937
902,-0.00497512437810943
903,-0.02016857314870557
904,0.03247162673392179
905,-0.006108735491753281
906,-0.036085626911315005
907,0.0071727435744172174
908,-0.022229822161422774
909,-0.07017543859649122
910,-0.021049420378279504
911,-0.033933933933933846
912,-0.029392971246006372
913,0.04006309148264975
914,-0.007405213270142097
915,-0.032258064516129004
916,-0.054642857142857104
917,-0.010580411124546552
918,-0.02197149643705465
919,-0.014911746804625703
920,-0.008825319537431597
921,0.003541532517707613
922,-0.026639344262295084
923,-0.030097087378640808
924,0.01987951807228905
925,-0.010578718108276375
926,-0.010243277848911658
927,-0.019255455712451797
928,-0.05316455696202527
929,-0.004887866589994294
930,-0.019476567255021338
931,0.025578562728380105
932,-0.0334793491864831
933,-0.03566878980891719
934,-0.01570835803200954
935,-0.017004773269689744
936,-0.03199268738574035
937,0.0009101941747572395
938,-0.048467792370231355
939,-0.023980815347721784
940,-0.032480314960629975
941,-0.03345174659561878
942,0.004739336492890933
943,-0.021393643031784815
944,-0.016081871345029253
945,-0.011391625615763568
946,-0.03020527859237543
947,-0.02177858439201452
948,0.004589963280293818
949,-0.03558168316831678
950,-0.012446873102610834
951,-0.02865239294710331
952,-0.0077844311377245345
953,-0.03525046382189234
954,-0.04605659241420834
955,-0.007960808328230207
956,-0.0428203477141017
957,-0.03448275862068961
958,-0.005331753554502328
959,-0.0440647482014388
960,-0.015806451612903283
961,-0.025494901019796012
962,-0.030228254164096247
963,-0.006883604505632079
964,-0.012319711538461564
965,-0.026347305389221587
966,-0.00941028858218318
967,-0.0661712668082095
968,-0.019841269841269882
969,-0.006984866123399325
970,-0.019242333132892364
971,-0.009038089089735246
972,-0.014320536258379035
973,0.007876496534341526
974,-0.04893065456902135
975,-0.026662484316185675
976,-0.03023407022106639
977,-0.00454545454545463
978,-0.028130671506352067
979,-0.05581807442409925
980,-0.0039346246973365195
981,-0.033045089561457686
982,-0.02015604681404415
983,-0.026562499999999933
984,-0.041201982651796754
985,-0.012302284710017486
986,0.009140767824497242
987,-0.003376304481276793
988,-0.020983213429256575
989,0.008593252705283327
990,-0.028792569659442768
991,0.02897135416666663
992,-0.009887936717205004
993,-0.030368098159509138
994,-0.03832335329341319
995,-0.014751075599262475
996,-0.012559808612440104
997,-0.02344251766217076
998,-0.016129032258064502
999,-0.009910485933503854
1000,-0.040874524714829
1001,-0.015389447236180853
1002,-0.046936114732724854
1003,-0.005424377791959145
1004,-0.017998779743746196
1005,-0.02310231023102305
1006,-0.015625
1007,-0.0056890012642224486
1008,0.011620603015075393
1009,-0.011860174781523125
1010,0.004518072289156572
1011,-0.015671200473092783
1012,-0.041201982651796754
1013,-0.02892561983471076
1014,0.016108247422680355
1015,-0.028228228228228236
1016,-0.04073627036813521
1017,-0.019601930036188153
1018,0.006308100929614868
1019,-0.03689320388349515
1020,-0.03724394785847307
1021,-0.004604051565377465
1022,-0.02422907488986792
1023,-0.009786476868327343
1024,-0.02840909090909094
1025,-0.0003045066991473888
1026,-0.009891512444160866
1027,0.0423728813559322
1028,-0.026608910891089188
1029,-0.020408163265306145
1030,-0.029868578255675016
1031,-0.04842767295597483
1032,-0.009663341645885337
1033,-0.033232628398791486
1034,0.016741790083708907
1035,-0.016311166875784155
1036,-0.01971326164874554
1037,-0.01236858379715522
1038,-0.013157894736842146
1039,-0.013521819299323945
1040,-0.024067388688327362
1041,-0.018235294117647127
1042,0.006896551724137834
1043,-0.007807417046193921
1044,-0.027939464493597188
1045,-0.01604116222760288
1046,-0.021964612568639463
1047,0.009858287122612497
1048,-0.03856382978723405
1049,-0.04006309148264986
1050,0.006709265175718904
1051,0.0068533969010727835
1052,-0.03239104829210837
1053,-0.03843730308758664
1054,0.003944174757281482
1055,-0.013440860215053752
1056,-0.03710353081986828
1057,-0.032346868547832086
1058,-0.05218956208758241
1059,-0.02235213204951858
1060,-0.009915865384615419
1061,-0.01189024390243909
