replicate,delta_C
475,0.0
476,-0.016778523489932917
477,0.006802721088435271
478,-0.06211180124223603
479,-0.11184210526315791
480,-0.08609271523178808
481,-0.046052631578947456
482,-0.045454545454545414
483,0.042763157894736836
484,-0.006578947368421018
485,-0.009554140127388533
486,0.04193548387096768
487,-0.038461538461538436
488,-0.069620253164557
489,0.05555555555555547
490,0.046762589928057485
491,0.05161290322580647
492,-0.05063291139240511
493,-0.07516339869281041
494,-0.05696202531645578
495,0.015923566878980888
496,-0.07516339869281052
497,-0.10185185185185175
498,-0.009740259740259827
499,0.012820512820512775
500,-0.003289473684210509
501,-0.11904761904761907
502,-0.11635220125786161
503,-0.046666666666666634
504,-0.04304635761589404
505,-0.07961783439490444
506,-0.022580645161290325
507,0.03870967741935483
508,0.013071895424836666
509,-0.08333333333333337
510,-0.03125
511,-0.11217948717948723
512,-0.0673076923076924
513,-0.05161290322580647
514,-0.10897435897435903
515,-0.07232704402515722
516,-0.015822784810126556
517,-0.040000000000000036
518,-0.07692307692307687
519,0.042483660130719025
520,-0.05405405405405406
521,-0.1266666666666667
522,-0.08387096774193548
523,0.012903225806451535
524,0.03594771241830064
525,-0.07236842105263153
526,0.028169014084507005
527,-0.110759493670886
528,-0.009677419354838679
529,-0.12025316455696206
530,-0.07792207792207795
531,-0.06603773584905659
532,-0.022580645161290325
533,-0.07324840764331209
534,-0.06329113924050633
535,-0.09493670886075956
536,-0.0036231884057970065
537,-0.022580645161290325
538,-0.05414012738853502
539,0.016233766233766267
540,-0.12422360248447206
541,-0.033333333333333326
542,-0.05590062111801242
543,-0.030201342281879207
544,-0.07278481012658233
545,0.0032679738562091387
546,0.01655629139072845
547,-0.13013698630136983
548,-0.038961038961038974
549,-0.13271604938271608
550,0.07861635220125796
551,-0.07770270270270274
552,-0.0950920245398773
553,-0.06687898089171973
554,0.0
555,-0.01342281879194629
556,-0.08709677419354844
557,-0.021604938271604923
558,-0.12091503267973863
559,0.0032051282051281937
560,-0.01602564102564097
561,-0.0445859872611466
562,-0.043209876543209846
563,0.004065040650406471
564,0.038461538461538436
565,-0.08749999999999997
566,-0.04026845637583898
567,0.009868421052631637
568,-0.07232704402515722
569,-0.12420382165605093
570,0.02795031055900621
571,-0.030674846625766805
572,-0.06164383561643838
573,-0.0033112582781457123
574,-0.02564102564102555
575,-0.023178807947019875
576,-0.03642384105960261
577,0.022435897435897467
578,0.04458598726114649
579,0.0134228187919464
580,-0.018404907975460127
581,-0.08441558441558439
582,-0.12187500000000001
583,-0.05128205128205132
584,-0.10625000000000007
585,-0.060509554140127375
586,0.09333333333333327
587,0.05228758169934644
588,-0.0031055900621117516
589,-0.016447368421052544
590,-0.12745098039215685
591,-0.11075949367088611
592,-0.05590062111801242
593,0.04140127388535031
594,0.004065040650406582
595,0.0641025641025641
596,-0.029032258064516148
597,0.07236842105263164
598,-0.03749999999999998
599,0.043624161073825496
600,0.022875816993464082
